Time,Temperature,Sound,Light,Pressure,Humidity,Comment
s,°C,dBA,lx,kPa,%RH,

0,10.7,40.0,18,97.16,57.0,
1.92,10.7,40.0,60,97.13,56.9,
3.84,10.7,54.1,61,97.09,56.9,
5.76,10.7,67.9,17,97.16,56.8,
7.68,10.7,70.2,14,97.16,56.8,
9.6,10.7,40.0,15,97.14,56.8,
11.52,10.7,40.0,14,97.11,56.7,
13.44,10.7,61.4,15,97.15,56.7,
15.36,10.7,40.0,20,97.13,56.7,
17.28,10.7,75.6,4,97.14,56.7,
19.2,10.7,40.0,1,97.11,56.7,
21.12,10.7,55.6,1,97.14,56.8,
23.04,10.7,75.6,6,97.13,56.9,
24.96,10.7,57.7,62,97.14,57.0,
26.88,10.7,71.2,54,97.14,57.1,
28.8,10.7,60.6,11,97.12,57.2,
30.72,10.7,71.3,18,97.14,57.2,
32.64,10.7,40.0,62,97.13,57.3,
34.56,10.7,67.3,67,97.12,57.3,
36.48,10.7,40.0,67,97.12,57.3,
38.4,10.7,60.8,66,97.14,57.3,
40.32,10.7,55.4,66,97.12,57.3,
42.24,10.6,62.1,59,97.16,57.3,
44.16,10.6,45.2,27,97.14,57.3,
46.08,10.6,43.7,26,97.13,57.2,
48,10.6,67.4,55,97.13,57.2,
49.92,10.6,54.4,68,97.15,57.2,
51.84,10.6,43.9,68,97.15,57.2,
53.76,10.6,40.0,46,97.13,57.1,
55.68,10.6,63.3,66,97.15,57.1,
57.6,10.6,40.0,73,97.14,57.1,
59.52,10.6,70.0,78,97.13,57.1,
61.44,10.6,40.0,77,97.14,57.0,
63.36,10.7,64.4,78,97.12,57.0,
65.28,10.7,60.2,79,97.14,57.0,
67.2,11.0,69.0,78,97.14,57.0,
69.12,13.5,69.7,47,97.12,57.0,
71.04,16.6,69.4,60,97.13,57.0,
72.96,19.6,60.9,59,97.14,57.0,
74.88,22.2,70.7,58,97.12,56.9,
76.8,24.2,40.0,58,97.14,56.9,
78.72,25.9,40.0,59,97.15,56.9,
80.64,27.2,40.0,57,97.13,56.9,
82.56,28.3,40.0,59,97.15,56.9,
84.48,29.2,70.5,60,97.13,56.8,
86.4,29.9,40.0,53,97.10,56.8,
88.32,30.4,74.6,77,97.12,56.8,
90.24,30.9,66.6,78,97.13,56.8,
92.16,31.3,50.1,77,97.10,56.8,
94.08,31.6,65.4,77,97.11,56.8,
96,31.8,52.1,78,97.13,56.8,
97.92,32.1,64.1,75,97.14,56.8,
99.84,32.2,53.9,73,97.12,56.7,
101.76,32.4,40.0,73,97.14,56.7,
103.68,32.6,65.1,82,97.14,56.7,
105.6,32.7,59.9,83,97.13,56.7,
107.52,32.8,40.0,84,97.14,56.7,
109.44,32.9,40.0,84,97.12,56.7,
111.36,33.0,40.0,85,97.15,56.7,
113.28,33.0,40.0,77,97.12,56.7,
115.2,33.1,77.0,75,97.12,56.7,
117.12,33.2,74.8,79,97.16,56.7,
119.04,33.2,45.2,72,97.15,56.7,
120.96,33.3,61.2,72,97.15,56.6,
122.88,33.3,69.6,71,97.14,56.6,
124.8,33.4,62.8,60,97.12,56.7,
126.72,33.4,65.7,75,97.15,56.7,
128.64,33.5,58.3,47,97.13,56.7,
130.56,33.5,73.7,19,97.12,56.8,
132.48,33.6,52.3,84,97.11,57.2,
134.4,33.6,65.5,74,97.12,57.5,
136.32,33.6,66.5,71,97.13,57.7,
138.24,33.7,78.4,91,97.12,57.9,
140.16,33.7,84.3,84,97.13,58.0,
142.08,33.7,40.0,88,97.13,58.1,
144,33.7,40.0,93,97.13,58.1,
145.92,33.8,40.0,86,97.16,58.2,
147.84,33.8,68.5,28,97.16,58.3,
149.76,33.8,40.0,3,97.14,58.3,
151.68,33.8,40.0,3,97.11,58.4,
153.6,33.8,72.4,88,97.17,58.5,
155.52,33.9,74.6,92,97.10,58.6,
157.44,33.9,40.0,93,97.13,58.7,
159.36,33.9,91.4,44,97.13,58.7,
161.28,33.9,72.1,89,97.15,58.8,
163.2,33.9,40.0,51,97.15,58.9,
165.12,34.0,76.2,88,97.13,58.9,
167.04,34.0,40.0,89,97.12,58.9,
168.96,34.0,63.6,71,97.12,58.9,
170.88,34.0,56.8,90,97.15,59.0,
172.8,34.0,85.0,50,97.11,59.0,
174.72,34.0,80.2,94,97.13,59.0,
176.64,34.1,62.2,97,97.12,59.1,
178.56,34.1,77.9,61,97.13,59.0,
180.48,34.1,77.1,51,97.13,59.0,
182.4,34.1,75.5,50,97.13,58.9,
184.32,34.1,76.0,67,97.16,58.9,
186.24,34.2,44.7,98,97.14,58.9,
188.16,34.2,40.0,100,97.13,58.9,
190.08,34.2,72.3,100,97.12,58.9,
192,34.2,40.0,100,97.13,58.8,
193.92,34.2,60.4,100,97.13,58.8,
195.84,34.2,40.0,101,97.16,58.9,
197.76,34.2,40.0,101,97.12,58.9,
199.68,34.2,40.0,101,97.12,58.9,
201.6,34.2,40.0,102,97.11,58.8,
203.52,34.2,40.0,102,97.14,58.8,
205.44,34.2,78.2,100,97.15,58.8,
207.36,34.3,65.8,70,97.14,58.7,
209.28,34.3,76.7,61,97.15,58.7,
211.2,34.3,57.6,94,97.13,58.6,
213.12,34.3,58.5,100,97.13,58.6,
215.04,34.3,74.9,88,97.12,58.5,
216.96,34.3,87.1,43,97.14,58.5,
218.88,34.3,94.1,43,97.14,58.4,
220.8,34.3,87.1,43,97.11,58.4,
222.72,34.3,80.5,41,97.13,58.3,
224.64,34.4,40.0,86,97.14,58.3,
226.56,34.4,41.7,97,97.11,58.3,
228.48,34.4,69.7,82,97.11,58.3,
230.4,34.4,76.9,54,97.12,58.3,
232.32,34.4,67.4,49,97.14,58.3,
234.24,34.4,70.6,54,97.16,58.3,
236.16,34.4,88.5,40,97.14,58.2,
238.08,34.4,82.4,35,97.13,58.2,
240,34.4,76.3,38,97.13,58.2,
241.92,34.4,86.1,38,97.13,58.2,
243.84,34.5,82.8,38,97.13,58.1,
245.76,34.5,75.2,43,97.12,58.1,
247.68,34.5,88.2,64,97.14,58.1,
249.6,34.5,85.5,42,97.15,58.0,
251.52,34.5,81.2,40,97.15,58.0,
253.44,34.5,83.2,32,97.13,58.0,
255.36,34.5,80.7,30,97.12,58.0,
257.28,34.5,40.0,28,97.14,58.0,
259.2,34.5,40.0,45,97.13,58.0,
261.12,34.5,40.0,45,97.13,58.0,
263.04,34.5,40.0,37,97.16,57.9,
264.96,34.5,74.6,44,97.14,57.9,
266.88,34.5,64.6,71,97.10,57.9,
268.8,34.5,60.9,57,97.14,57.9,
270.72,34.6,73.1,56,97.16,57.8,
272.64,34.6,65.6,96,97.13,57.8,
274.56,34.6,68.1,70,97.14,57.8,
276.48,34.6,58.8,59,97.09,57.8,
278.4,34.6,62.7,82,97.15,57.7,
280.32,34.6,55.8,96,97.14,57.7,
282.24,34.6,63.3,96,97.14,57.7,
284.16,34.6,66.8,96,97.10,57.7,
286.08,34.6,59.0,96,97.16,57.7,
288,34.6,43.6,96,97.15,57.6,
289.92,34.7,66.7,96,97.12,57.6,
291.84,34.7,67.6,96,97.17,57.6,
293.76,34.7,61.6,97,97.11,57.6,
295.68,34.7,59.8,96,97.13,57.5,
297.6,34.7,40.0,97,97.12,57.5,
299.52,34.7,40.0,97,97.14,57.5,
301.44,34.7,40.0,97,97.14,57.5,
303.36,34.7,40.0,98,97.14,57.4,
305.28,34.7,40.0,97,97.14,57.4,
307.2,34.7,40.0,102,97.14,57.4,
309.12,34.7,40.0,104,97.12,57.4,
311.04,34.7,40.0,96,97.13,57.4,
312.96,34.7,49.0,28,97.11,57.4,
314.88,34.8,43.2,26,97.10,57.5,
316.8,34.8,42.7,26,97.13,58.1,
318.72,34.9,62.1,25,97.14,58.8,
320.64,34.9,44.0,94,97.16,60.6,
322.56,34.9,76.1,96,97.09,61.7,
324.48,35.0,40.0,68,97.14,62.4,
326.4,35.0,40.0,108,97.13,62.7,
328.32,35.0,40.0,109,97.11,62.9,
330.24,35.1,59.5,108,97.14,63.1,
332.16,35.1,73.9,63,97.10,63.3,
334.08,35.1,71.3,94,97.13,63.3,
336,35.1,68.7,105,97.13,63.3,
337.92,35.1,66.8,85,97.13,63.3,
339.84,35.1,61.6,75,97.10,63.3,
341.76,35.1,55.3,76,97.11,63.3,
343.68,35.2,64.7,76,97.13,63.3,
345.6,35.2,40.0,75,97.16,63.2,
347.52,35.2,40.0,75,97.13,63.2,
349.44,35.2,58.7,76,97.16,63.1,
351.36,35.2,66.1,74,97.16,63.1,
353.28,35.2,56.3,73,97.14,63.0,
355.2,35.2,40.5,72,97.15,62.9,
357.12,35.2,70.1,72,97.17,62.8,
359.04,35.2,60.1,106,97.13,62.7,
360.96,35.2,70.0,116,97.15,62.6,
362.88,35.2,59.1,116,97.11,62.5,
364.8,35.1,54.9,116,97.15,62.4,
366.72,35.1,40.0,116,97.13,62.3,
368.64,35.1,67.4,116,97.14,62.3,
370.56,35.0,40.0,116,97.13,62.2,
372.48,35.0,69.8,116,97.16,62.1,
374.4,35.0,72.4,116,97.14,62.0,
376.32,35.0,54.3,117,97.15,61.9,
378.24,35.0,40.0,116,97.13,61.9,
380.16,34.9,63.3,117,97.12,61.9,
382.08,34.9,71.1,117,97.15,61.8,
384,34.9,68.3,117,97.15,61.8,
385.92,34.9,61.9,117,97.16,61.8,
387.84,34.9,40.0,117,97.15,61.7,
389.76,34.9,74.9,117,97.14,61.7,
391.68,34.9,40.0,117,97.13,61.8,
393.6,34.9,51.6,117,97.12,61.8,
395.52,34.9,66.0,117,97.12,61.8,
397.44,34.9,64.5,118,97.12,61.7,
399.36,34.9,40.0,118,97.15,61.7,
401.28,34.9,40.0,117,97.16,61.7,
403.2,34.9,52.1,117,97.17,61.7,
405.12,34.9,55.4,119,97.13,61.7,
407.04,34.9,57.0,119,97.15,61.7,
408.96,34.9,64.3,117,97.12,61.7,
410.88,34.9,40.0,118,97.14,61.7,
412.8,34.9,64.5,118,97.13,61.7,
414.72,34.9,68.1,119,97.16,61.6,
416.64,34.9,58.0,120,97.13,61.6,
418.56,34.9,61.4,120,97.12,61.6,
420.48,34.9,44.1,120,97.15,61.6,
422.4,34.9,40.0,120,97.15,61.6,
424.32,34.9,51.4,120,97.13,61.6,
426.24,34.9,40.0,120,97.12,61.6,
428.16,34.9,44.5,119,97.13,61.6,
430.08,34.9,40.0,119,97.15,61.7,
432,35.0,41.0,119,97.14,61.7,
433.92,35.0,66.6,119,97.15,61.6,
435.84,35.0,78.8,119,97.18,61.6,
437.76,35.0,58.7,119,97.14,61.5,
439.68,35.0,71.0,119,97.13,61.4,
441.6,35.0,73.5,120,97.12,61.4,
